,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
65,2016,4.8,SP.DYN.TFRT.IN,AFG,Afghanistan,South Asia,Low income,IDA
66,2017,4.633,SP.DYN.TFRT.IN,AFG,Afghanistan,South Asia,Low income,IDA
67,2018,4.473,SP.DYN.TFRT.IN,AFG,Afghanistan,South Asia,Low income,IDA
68,2019,4.321,SP.DYN.TFRT.IN,AFG,Afghanistan,South Asia,Low income,IDA
69,2015,6.049,SP.DYN.TFRT.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
70,2016,5.947,SP.DYN.TFRT.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
71,2017,5.846,SP.DYN.TFRT.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
72,2018,5.747,SP.DYN.TFRT.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
73,2019,5.649,SP.DYN.TFRT.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
74,2015,3.029,SP.DYN.TFRT.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
75,2016,2.973,SP.DYN.TFRT.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
76,2017,2.92,SP.DYN.TFRT.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
77,2018,2.87,SP.DYN.TFRT.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
78,2019,2.822,SP.DYN.TFRT.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
79,2015,4.157,SP.DYN.TFRT.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
80,2016,4.123,SP.DYN.TFRT.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
81,2017,4.088,SP.DYN.TFRT.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
82,2018,4.044,SP.DYN.TFRT.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
83,2019,3.99,SP.DYN.TFRT.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
84,2015,9.35507,UIS.SLE.123,AFG,Afghanistan,South Asia,Low income,IDA
85,2016,9.26709,UIS.SLE.123,AFG,Afghanistan,South Asia,Low income,IDA
86,2017,9.36697,UIS.SLE.123,AFG,Afghanistan,South Asia,Low income,IDA
87,2018,9.58062,UIS.SLE.123,AFG,Afghanistan,South Asia,Low income,IDA
88,2015,7.18679,UIS.SLE.123,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
89,2016,6.92852,UIS.SLE.123,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
90,2017,6.27092,UIS.SLE.123,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
91,2018,6.9194700000000005,UIS.SLE.123,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
92,2019,6.91521,UIS.SLE.123,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
93,2015,9.41088,UIS.SLE.123,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
94,2016,9.3145,UIS.SLE.123,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
95,2017,9.27948,UIS.SLE.123,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
96,2018,9.30766,UIS.SLE.123,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
97,2019,9.1789,UIS.SLE.123,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
98,2015,10.63686,UIS.SLE.123,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
99,2016,11.02909,UIS.SLE.123,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
100,2017,11.03305,UIS.SLE.123,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
101,2018,10.74334,UIS.SLE.123,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
102,2019,10.81809,UIS.SLE.123,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
103,2015,48.6070493694,SP.POP.TOTL.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
104,2016,48.5996676147,SP.POP.TOTL.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
105,2017,48.6116157183,SP.POP.TOTL.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
106,2018,48.6358467017,SP.POP.TOTL.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
107,2019,48.6623948521,SP.POP.TOTL.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
108,2020,48.6845201032,SP.POP.TOTL.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
109,2015,50.0974525424,SP.POP.TOTL.FE.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
110,2016,50.093354754,SP.POP.TOTL.FE.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
111,2017,50.0890837911,SP.POP.TOTL.FE.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
112,2018,50.0848994171,SP.POP.TOTL.FE.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
113,2019,50.081012702,SP.POP.TOTL.FE.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
114,2020,50.0776793469,SP.POP.TOTL.FE.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
115,2015,50.8073410583,SP.POP.TOTL.FE.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
116,2016,50.7915267123,SP.POP.TOTL.FE.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
117,2017,50.7753867149,SP.POP.TOTL.FE.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
118,2018,50.7593494959,SP.POP.TOTL.FE.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
119,2019,50.7438965875,SP.POP.TOTL.FE.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
120,2020,50.7293908141,SP.POP.TOTL.FE.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
121,2015,50.8961598077,SP.POP.TOTL.FE.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
122,2016,50.8829892014,SP.POP.TOTL.FE.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
123,2017,50.8715244855,SP.POP.TOTL.FE.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
124,2018,50.8610613472,SP.POP.TOTL.FE.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
125,2019,50.850427871,SP.POP.TOTL.FE.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
126,2020,50.8390344844,SP.POP.TOTL.FE.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
127,2015,63.377,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
128,2016,63.763,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
129,2017,64.13,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
130,2018,64.486,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
131,2019,64.833,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
132,2015,53.137,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
133,2016,53.438,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
134,2017,53.712,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
135,2018,53.977,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
136,2019,54.239,SP.DYN.LE00.IN,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
137,2015,73.25,SP.DYN.LE00.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
138,2016,73.541,SP.DYN.LE00.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
139,2017,73.81,SP.DYN.LE00.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
140,2018,74.063,SP.DYN.LE00.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
141,2019,74.302,SP.DYN.LE00.IN,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
142,2015,67.45,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
143,2016,67.93,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
144,2017,68.341,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
145,2018,68.7,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
146,2019,69.024,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
