,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
48,2009,8021.7480651122,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
49,2010,8505.7481480189,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
50,2011,9095.7417229551,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
51,2012,9713.9004873063,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
52,2013,10067.465744305,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
53,2014,10278.1773057998,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
54,2015,10247.2063381531,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
55,2005,31663.4530989772,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
56,2006,33090.1962558485,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
57,2007,34501.5090143849,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
58,2008,34798.7658977271,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
59,2009,33198.6164013794,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
60,2010,34986.9945402402,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
61,2011,35774.6967129559,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
62,2012,37191.3859456258,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
63,2013,38974.0794886127,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
64,2014,39179.155610609,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
65,2015,40388.5527720976,NY.GDP.PCAP.PP.CD,JPN,Japan,East Asia & Pacific,High income,Not classified
66,2005,11822.3469289417,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
67,2006,14912.2339332667,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
68,2007,16648.2416399717,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
69,2008,20163.6094155718,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
70,2009,19389.9411762443,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
71,2010,20490.1267193879,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
72,2011,22798.6744273279,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
73,2012,24303.4734145818,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
74,2013,26073.8745307451,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
75,2014,25761.6480209933,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
76,2015,24085.3241847947,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
77,2005,32592.5145429742,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
78,2006,34657.5149790665,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
79,2007,35505.3881020793,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
80,2008,36644.6977720036,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
81,2009,35043.5945011122,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
82,2010,36464.4825675756,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
83,2011,37169.5471442258,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
84,2012,38299.5689881601,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
85,2013,39931.2293779137,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
86,2014,41289.0758256899,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
87,2015,42567.5917974837,NY.GDP.PCAP.PP.CD,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
88,2005,44114.7477810544,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
89,2006,46298.7314440927,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
90,2007,47975.9676958038,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
91,2008,48382.5584490552,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
92,2009,47099.9804711343,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
93,2010,48466.6576026922,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
94,2011,49882.5581321495,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
95,2012,51602.9310457907,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
96,2013,53106.5367672165,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
97,2014,55049.9883272312,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
98,2015,56863.3714957652,NY.GDP.PCAP.PP.CD,USA,United States,North America,High income,Not classified
99,2005,186127108.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
100,2006,188167353.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
101,2007,190130445.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
102,2008,192030362.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
103,2009,193886505.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
104,2010,195713637.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
105,2011,197514541.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
106,2012,199287292.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
107,2013,201035904.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
108,2014,202763744.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
109,2015,204471759.0,SP.POP.TOTL,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
110,2005,1303720000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
111,2006,1311020000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
112,2007,1317885000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
113,2008,1324655000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
114,2009,1331260000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
115,2010,1337705000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
116,2011,1344130000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
117,2012,1350695000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
118,2013,1357380000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
119,2014,1364270000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
120,2015,1371220000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
121,2005,82469422.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
122,2006,82376451.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
123,2007,82266372.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
124,2008,82110097.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
125,2009,81902307.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
126,2010,81776930.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
127,2011,80274983.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
128,2012,80425823.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
129,2013,80645605.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
130,2014,80982500.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
131,2015,81686611.0,SP.POP.TOTL,DEU,Germany,Europe & Central Asia,High income,Not classified
132,2005,1147609924.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
133,2006,1165486291.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
134,2007,1183209471.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
135,2008,1200669762.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
136,2009,1217726217.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
137,2010,1234281163.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
138,2011,1250287939.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
139,2012,1265780243.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
140,2013,1280842119.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
141,2014,1295600768.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
142,2015,1310152392.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
143,2005,226289468.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
144,2006,229318262.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
145,2007,232374239.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
146,2008,235469755.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
147,2009,238620554.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
148,2010,241834226.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
149,2011,245115988.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
150,2012,248451714.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
151,2013,251805314.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
152,2014,255128076.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
153,2015,258383257.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
154,2005,127773000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
155,2006,127854000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
156,2007,128001000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
157,2008,128063000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
158,2009,128047000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
159,2010,128070000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
160,2011,127833000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
161,2012,127629000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
162,2013,127445000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
163,2014,127276000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
164,2015,127141000.0,SP.POP.TOTL,JPN,Japan,East Asia & Pacific,High income,Not classified
165,2005,143518814.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
166,2006,143049637.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
167,2007,142805114.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
168,2008,142742366.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
169,2009,142785349.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
170,2010,142849468.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
171,2011,142960908.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
172,2012,143201721.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
173,2013,143506995.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
174,2014,143819667.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
175,2015,144096870.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
176,2005,60401206.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
177,2006,60846820.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
178,2007,61322463.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
179,2008,61806995.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
180,2009,62276270.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
181,2010,62766365.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
182,2011,63258810.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
183,2012,63700215.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
184,2013,64128273.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
185,2014,64602298.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
186,2015,65116219.0,SP.POP.TOTL,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
187,2005,295516599.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
188,2006,298379912.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
189,2007,301231207.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
190,2008,304093966.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
191,2009,306771529.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
192,2010,309327143.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
193,2011,311583481.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
194,2012,313877662.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
195,2013,316059947.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
196,2014,318386329.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
197,2015,320738994.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
198,2005,4.7,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
199,2006,4.7,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
200,2007,4.9,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
201,2008,5.1,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
202,2009,5.1,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
203,2010,5.0,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
204,2011,5.2,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
205,2012,5.4,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
206,2013,5.6,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
207,2014,5.6,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
208,2015,5.9,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
209,2005,12.9,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
210,2006,12.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
211,2007,11.5,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
212,2008,11.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
213,2009,10.7,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
214,2010,10.2,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
215,2011,9.6,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
216,2012,9.0,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
217,2013,8.6,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
218,2014,8.4,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
219,2015,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
220,2005,13.3,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
221,2006,12.8,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
222,2007,12.4,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
223,2008,12.5,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
224,2009,12.8,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
225,2010,13.2,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
226,2011,13.2,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
227,2012,12.9,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
228,2013,13.4,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
229,2014,13.4,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
230,2015,13.3,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
231,2005,15.5,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
232,2006,15.6,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
233,2007,15.3,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
234,2008,15.1,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
235,2009,14.5,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
236,2010,14.6,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
237,2011,14.7,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
238,2012,14.3,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
239,2013,13.7,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
240,2014,12.8,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
241,2015,12.3,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
242,2005,3.0,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
243,2006,2.9,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
244,2007,2.9,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
245,2008,2.8,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
246,2009,2.7,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
247,2010,2.6,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
248,2011,2.6,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
249,2012,2.5,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
250,2013,2.5,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
251,2014,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
252,2015,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
253,2005,24.3,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
254,2006,23.9,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
255,2007,25.0,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
256,2008,24.4,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
257,2009,24.9,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
258,2010,24.1,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
259,2011,23.4,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
260,2012,21.6,SH.STA.SUIC.P5,JPN,Japan,East Asia & Pacific,High income,Not classified
